code,CodeLabel,Ingredients
A,ALIMENTARY TRACT AND METABOLISM ,ALIMENTARY TRACT AND METABOLISM 
A01,STOMATOLOGICAL PREPARATIONS ,STOMATOLOGICAL PREPARATIONS 
A01A,STOMATOLOGICAL PREPARATIONS ,STOMATOLOGICAL PREPARATIONS 
A01AA,Caries prophylactic agents ,Caries prophylactic agents 
A01AA01,sodium fluoride | 1.1mg | Oralral,sodium fluoride
A01AA02,sodium monofluorophosphate ,sodium monofluorophosphate 
A01AA03,olaflur | 1.1mg | Oralral,olaflur
A01AA04,stannous fluoride ,stannous fluoride 
A01AA30,combinations ,combinations 
A01AA51,"sodium fluoride, combinations ","sodium fluoride, combinations "
A01AB,Antiinfectives and antiseptics for local oral treatment ,Antiinfectives and antiseptics for local oral treatment 
A01AB02,hydrogen peroxide | 60mg | Oral,hydrogen peroxide
A01AB03,chlorhexidine | 30mg | Oral,chlorhexidine
A01AB04,amphotericin B | 40mg | Oral,amphotericin B
A01AB05,polynoxylin | 0.18g | Oral,polynoxylin
A01AB06,domiphen | 3mg | Oral,domiphen
A01AB07,oxyquinoline | 80mg | Oral,oxyquinoline
A01AB08,neomycin ,neomycin 
A01AB09,miconazole | 0.2g | Oral,miconazole
A01AB10,natamycin | 20mg | Oral,natamycin
A01AB11,various ,various 
A01AB12,hexetidine ,hexetidine 
A01AB13,tetracycline ,tetracycline 
A01AB14,benzoxonium chloride ,benzoxonium chloride 
A01AB15,tibezonium iodide ,tibezonium iodide 
A01AB16,mepartricin ,mepartricin 
A01AB17,metronidazole ,metronidazole 
A01AB18,clotrimazole ,clotrimazole 
A01AB19,sodium perborate ,sodium perborate 
A01AB21,chlortetracycline ,chlortetracycline 
A01AB22,doxycycline ,doxycycline 
A01AB23,minocycline | 1mg | Oral,minocycline
A01AC,Corticosteroids for local oral treatment ,Corticosteroids for local oral treatment 
A01AC01,triamcinolone ,triamcinolone 
A01AC02,dexamethasone ,dexamethasone 
A01AC03,hydrocortisone ,hydrocortisone 
A01AC54,"prednisolone, combinations ","prednisolone, combinations "
A01AD,Other agents for local oral treatment ,Other agents for local oral treatment 
A01AD01,epinephrine ,epinephrine 
A01AD02,benzydamine ,benzydamine 
A01AD05,acetylsalicylic acid ,acetylsalicylic acid 
A01AD06,adrenalone ,adrenalone 
A01AD07,amlexanox ,amlexanox 
A01AD08,becaplermin ,becaplermin 
A01AD11,various ,various 
A02,DRUGS FOR ACID RELATED DISORDERS ,DRUGS FOR ACID RELATED DISORDERS 
A02A,ANTACIDS ,ANTACIDS 
A02AA,Magnesium compounds ,Magnesium compounds 
A02AA01,magnesium carbonate ,magnesium carbonate 
A02AA02,magnesium oxide ,magnesium oxide 
A02AA03,magnesium peroxide ,magnesium peroxide 
A02AA04,magnesium hydroxide | 3g | Oral,magnesium hydroxide
A02AA05,magnesium silicate ,magnesium silicate 
A02AA10,combinations ,combinations 
A02AB,Aluminium compounds ,Aluminium compounds 
A02AB01,aluminium hydroxide ,aluminium hydroxide 
A02AB02,algeldrate  | 5g | Oral,algeldrate 
A02AB03,aluminium phosphate ,aluminium phosphate 
A02AB04,dihydroxialumini sodium carbonate | 4g | Oral,dihydroxialumini sodium carbonate
A02AB05,aluminium acetoacetate ,aluminium acetoacetate 
A02AB06,aloglutamol ,aloglutamol 
A02AB07,aluminium glycinate ,aluminium glycinate 
A02AB10,combinations ,combinations 
A02AC,Calcium compounds ,Calcium compounds 
A02AC01,calcium carbonate ,calcium carbonate 
A02AC02,calcium silicate | 6g | Oral,calcium silicate
A02AC10,combinations ,combinations 
A02AD,"Combinations and complexes of aluminium, calcium and magnesium compounds ","Combinations and complexes of aluminium, calcium and magnesium compounds "
A02AD01,ordinary salt combinations ,ordinary salt combinations 
A02AD02,magaldrate ,magaldrate 
A02AD03,almagate ,almagate 
A02AD04,hydrotalcite ,hydrotalcite 
A02AD05,almasilate ,almasilate 
A02AF,Antacids with antiflatulents ,Antacids with antiflatulents 
A02AF01,magaldrate and antiflatulents ,magaldrate and antiflatulents 
A02AF02,ordinary salt combinations and antiflatulents ,ordinary salt combinations and antiflatulents 
A02AG,Antacids with antispasmodics ,Antacids with antispasmodics 
A02AH,Antacids with sodium bicarbonate ,Antacids with sodium bicarbonate 
A02AX,"Antacids, other combinations ","Antacids, other combinations "
A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD) ,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD) 
A02BA,H2-receptor antagonists ,H2-receptor antagonists 
A02BA01,cimetidine | 0.8g | Oral,cimetidine
A02BA02,ranitidine | 0.3g | Oral,ranitidine
A02BA03,famotidine | 40mg | Oral,famotidine
A02BA04,nizatidine | 0.3g | Oral,nizatidine
A02BA05,niperotidine ,niperotidine 
A02BA06,roxatidine | 0.15g | Oral,roxatidine
A02BA07,ranitidine bismuth citrate | 0.8g | Oral,ranitidine bismuth citrate
A02BA08,lafutidine | 20mg | Oral,lafutidine
