code,CodeLabel,Ingredients
1,NERVOUS SYSTEM,
2,SKELETAL MUSCLE SYSTEM,
3,CARDIOVASCULAR SYSTEM,
4,GENERAL ANTI-INFECTIOUSS FOR SYSTEMATIC USE,
5,"CARDIOVASCULAR SYSTEM + DIGESTIVE SYSTEM, METABOLISM AND NUTRITION",
6,DERMATOLOGICAL PRODUCTS AND MUCOUS MEMBRANES,
7,SYSTEM HORMONES,
8,"DIGESTIVE SYSTEM, METABOLISM AND NUTRITION",
9,INTERFERING PRODUCTS IN WATER AND ELECTROLYTE METABOLISM,
10,"INTERFERING PRODUCTS IN WATER AND ELECTROLYTE METABOLISM + DIGESTIVE SYSTEM, METABOLISM AND NUTRITION",
11,"DIGESTIVE SYSTEM, METABOLISM AND NUTRICAO + GENITAL SYSTEM URINARY AND SEXUAL HORMONES",
12,"GENITAL SYSTEM, URINARY AND SEXUAL HORMONES",
13,OPHTHALMIC PRODUCTS + CARDIOVASCULAR SYSTEM,
14,RESPIRATORY SYSTEM,
15,OPHTHALMIC PRODUCTS,
16,BLOOD AND HEMATOPOETIC SYSTEM,
17,CARDIOVASCULAR SYSTEM + RESPIRATORY SYSTEM,
18,DERMATOLOGICAL PRODUCTS AND MUCOUS MEMBRANES + GENITAL URINARY SYSTEM AND SEXUAL HORMONES,
19,IMMUNOMODULATOR AGENTS,
20,ANTINEOPLASTIC AGENTS,
21,"DIGESTIVE SYSTEM, METABOLISM AND NUTRICAO + NERVOUS SYSTEM",
22,VARIOUS PRODUCTS,
23,BLOOD AND HEMATOPOETIC SYSTEM + NERVOUS SYSTEM,
24,CARDIOVASCULAR SYSTEM + GENITAL URINARY SYSTEM AND SEXUAL HORMONES,
25,MISCELLANEOUS PRODUCTS + BLOOD AND HEMATOPOTIC SYSTEM,
26,"GENITAL SYSTEM, URINARY AND SEXUAL HORMONES + DIGESTIVE SYSTEM, METABOLISM AND NUTRITION",
27,IMMUNIZING AGENTS,
28,SKELETAL MUSCLE SYSTEM + NERVOUS SYSTEM,
29,OTOLOGICAL PRODUCTS,
30,CARDIOVASCULAR SYSTEM + NERVOUS SYSTEM,
31,GENITAL SYSTEM URINARY AND SEXUAL HORMONES + NERVOUS SYSTEM,
32,BLOOD AND HEMATOPOETIC SYSTEM + CARDIOVASCULAR SYSTEM,
33,"BLOOD AND HEMATOPOETIC SYSTEM + DIGESTIVE SYSTEM, METABOLISM AND NUTRITION",
34,NERVOUS SYSTEM + RESPIRATORY SYSTEM,
35,SISTEMIC HORMONES + BLOOD AND HEMATOPOETIC SYSTEM,
36,SISTEMIC HORMONES + GENITAL URINARY SYSTEM AND SEXUAL HORMONES,
37,RADIOPHARMACIES,
38,"DERMATOLOGICAL PRODUCTS AND MUCOUS MEMBRANES + DIGESTIVE SYSTEM, METABOLISM AND NUTRITION",
39,SYSTEMATIC ANTIVARICOSE THERAPY,
40,UNSPECIFIED,
90000021,CLORIDRATO DE PIOGLITAZONA | ACTOS 15 MG COM CT FR PLAS OPC X 15 | ABBOTT LABORATORIOS DO BRASIL LTDA.,CLORIDRATO DE PIOGLITAZONA
90000030,CLORIDRATO DE PIOGLITAZONA | ACTOS 30 MG COM CT FR PLAS OPC X 15 | ABBOTT LABORATORIOS DO BRASIL LTDA.,CLORIDRATO DE PIOGLITAZONA
90000048,CLORIDRATO DE PIOGLITAZONA | ACTOS 45 MG COM CT FR PLAS OPC X 15 | ABBOTT LABORATORIOS DO BRASIL LTDA.,CLORIDRATO DE PIOGLITAZONA
90000145,CANDESARTANA | BLOPRESS 16 MG COM CT BL AL PLAS INC X 30 | ABBOTT LABORATORIOS DO BRASIL LTDA.,CANDESARTANA
90000153,CANDESARTANA | BLOPRESS 8 MG COM CT BL AL PLAS INC X 30 | ABBOTT LABORATORIOS DO BRASIL LTDA.,CANDESARTANA
90000226,CALCITRIOL | CALCIJEX 1 MCG/ML SOL INJ CX 3 AMP VD AMB X 1 ML | ABBOTT LABORATORIOS DO BRASIL LTDA.,CALCITRIOL
90000315,VALPROATO DE SODIO | DEPACON 100MG/ML SOL INJ CT 10 FA VD INC X 5ML | ABBOTT LABORATORIOS DO BRASIL LTDA.,VALPROATO DE SODIO
90000323,ACIDO VALPROICO | DEPAKENE 250 MG CAP CT FR VD AMB X 25 | ABBOTT LABORATORIOS DO BRASIL LTDA.,ACIDO VALPROICO
90000331,ACIDO VALPROICO | DEPAKENE 300 MG COM REV CT FR VD AMB X 25 | ABBOTT LABORATORIOS DO BRASIL LTDA.,ACIDO VALPROICO
90000340,ACIDO VALPROICO | DEPAKENE 500 MG COM REV CT FR PLAST OPC X 50 | ABBOTT LABORATORIOS DO BRASIL LTDA.,ACIDO VALPROICO
90000358,ACIDO VALPROICO | DEPAKENE 50 MG/ML XPE CT FR VD AMB X 100 ML | ABBOTT LABORATORIOS DO BRASIL LTDA.,ACIDO VALPROICO
90000366,DIVALPROATO DE SODIO | DEPAKOTE 250 MG COM REV CT FR VD AMB X 30 | ABBOTT LABORATORIOS DO BRASIL LTDA.,DIVALPROATO DE SODIO
90000382,DIVALPROATO DE SODIO | DEPAKOTE 500 MG COM REV CT FR VD AMB X 30 | ABBOTT LABORATORIOS DO BRASIL LTDA.,DIVALPROATO DE SODIO
90000404,DIVALPROATO DE SODIO | DEPAKOTE ER 250 MG COM REV LIB PROL CT BL AL PLAS INC X 30 | ABBOTT LABORATORIOS DO BRASIL LTDA.,DIVALPROATO DE SODIO
90000412,DIVALPROATO DE SODIO | DEPAKOTE ER 250 MG COM REV LIB PROL CT BL AL PLAS INC X 6 | ABBOTT LABORATORIOS DO BRASIL LTDA.,DIVALPROATO DE SODIO
90000420,DIVALPROATO DE SODIO | DEPAKOTE ER 500 MG COM REV LIB PROL CT BL AL PLAS INC X 30 | ABBOTT LABORATORIOS DO BRASIL LTDA.,DIVALPROATO DE SODIO
90000447,DIVALPROATO DE SODIO | DEPAKOTE ER 500 MG COM REV LIB PROL CT BL AL PLAS INC X 6 | ABBOTT LABORATORIOS DO BRASIL LTDA.,DIVALPROATO DE SODIO
90000455,DIVALPROATO DE SODIO | DEPAKOTE SPRINKLE 125 MG CAP GEL MCGRAN CT FR VD AMB X 10 | ABBOTT LABORATORIOS DO BRASIL LTDA.,DIVALPROATO DE SODIO
90000463,DIVALPROATO DE SODIO | DEPAKOTE SPRINKLE 125 MG CAP GEL MCGRAN CT FR VD AMB X 30 | ABBOTT LABORATORIOS DO BRASIL LTDA.,DIVALPROATO DE SODIO
90000471,CLORIDRATO DE VERAPAMIL | DILACORON 120 MG COM REV RETARD CT BL AL PLAS INC X 20 | ABBOTT LABORATORIOS DO BRASIL LTDA.,CLORIDRATO DE VERAPAMIL
90000498,CLORIDRATO DE VERAPAMIL | DILACORON 80MG COM REV CT BL AL PLAS AMB X 30 | ABBOTT LABORATORIOS DO BRASIL LTDA.,CLORIDRATO DE VERAPAMIL
90000510,ISOFLURANO | FORANE INAL CT FR VD AMB X 100 ML | ABBOTT LABORATORIOS DO BRASIL LTDA.,ISOFLURANO
90000544,"COLAGENASE+CLORANFENICOL | GYNO IRUXOL 0,6 UI/G + 10 MG/G POM GIN CT BG AL X 30 G + APLIC | ABBOTT LABORATORIOS DO BRASIL LTDA.",COLAGENASE+CLORANFENICOL
90000552,"ADALIMUMABE | HUMIRA 40MG SOL INJ CT 2 BL X SER X 0,8 ML + ENV LENCO COM ALCOOL | ABBOTT LABORATORIOS DO BRASIL LTDA.",ADALIMUMABE
90000587,CLORIDRATO DE TERAZOSINA | HYTRIN 5 MG COM CT 2 BL AL PLAS INC X 15 | ABBOTT LABORATORIOS DO BRASIL LTDA.,CLORIDRATO DE TERAZOSINA
90000633,"COLAGENASE+CLORANFENICOL | IRUXOL 0,6 U/G + 0,01 G POM DERM CT BG AL X 15 G | ABBOTT LABORATORIOS DO BRASIL LTDA.",COLAGENASE+CLORANFENICOL
90000641,"COLAGENASE+CLORANFENICOL | IRUXOL 0,6 U/G + 0,01 G POM DERM CT BG AL X 15 G + ESPATULA | ABBOTT LABORATORIOS DO BRASIL LTDA.",COLAGENASE+CLORANFENICOL
90000650,"COLAGENASE+CLORANFENICOL | IRUXOL 0,6 U/G + 0,01 G POM DERM CT BG AL X 30 G | ABBOTT LABORATORIOS DO BRASIL LTDA.",COLAGENASE+CLORANFENICOL
90000668,"COLAGENASE+CLORANFENICOL | IRUXOL 0,6 U/G + 0,01 G POM DERM CT BG AL X 50 G | ABBOTT LABORATORIOS DO BRASIL LTDA.",COLAGENASE+CLORANFENICOL
90000676,"COLAGENASE+CLORANFENICOL | IRUXOL 0,6 U/G + 0,01 G POM DERM CT BG AL X 50 G + ESPATULA | ABBOTT LABORATORIOS DO BRASIL LTDA.",COLAGENASE+CLORANFENICOL
90000706,"COLAGENASE | IRUXOL MONO 1,2 U/G POM DERM CT 50 BG AL X 30 G | ABBOTT LABORATORIOS DO BRASIL LTDA.",COLAGENASE
90000714,"COLAGENASE | IRUXOL MONO 1,2 U/G POM DERM CT BG AL X 15 G | ABBOTT LABORATORIOS DO BRASIL LTDA.",COLAGENASE
90000722,"COLAGENASE | IRUXOL MONO 1,2 U/G POM DERM CT BG AL X 30 G | ABBOTT LABORATORIOS DO BRASIL LTDA.",COLAGENASE
90000730,COLAGENASE+CLORANFENICOL | IRUXOL POM DERM CT 50 BG AL X 30 G | ABBOTT LABORATORIOS DO BRASIL LTDA.,COLAGENASE+CLORANFENICOL
90000790,CLARITROMICINA | KLARICID 25 MG/ML GRAN SUS PED CT FR PLAS OPC X 60 ML + SER DOS + ADAPT | ABBOTT LABORATORIOS DO BRASIL LTDA.,CLARITROMICINA
90000803,CLARITROMICINA | KLARICID 50 MG/ML GRAN SUS PED CT FR PLAS OPC X 60 ML + SER DOS + ADAPT | ABBOTT LABORATORIOS DO BRASIL LTDA.,CLARITROMICINA
90000811,CLARITROMICINA | KLARICID 500 MG PO LIOF INJ CT FA VD INC X CAPAC 10 ML | ABBOTT LABORATORIOS DO BRASIL LTDA.,CLARITROMICINA
90000820,CLARITROMICINA | KLARICID UD 500 MG COM LIB PROL CT BL AL PLAS INC X 10 | ABBOTT LABORATORIOS DO BRASIL LTDA.,CLARITROMICINA
90000838,CLARITROMICINA | KLARICID UD 500 MG COM LIB PROL CT BL AL PLAS INC X 7 | ABBOTT LABORATORIOS DO BRASIL LTDA.,CLARITROMICINA
90000846,"ACETATO DE LEUPRORRELINA | LUPRON 5,0 MG/ML SOL INJ PT PLAS OPC FA VD INC X 2,8 ML + 14 SER | ABBOTT LABORATORIOS DO BRASIL LTDA.",ACETATO DE LEUPRORRELINA
90000919,CLORIDRATO DE SELEGILINA | NIAR 5 MG COM CT BL AL PLAS AMB X 30 | ABBOTT LABORATORIOS DO BRASIL LTDA.,CLORIDRATO DE SELEGILINA
90000927,CLORIDRATO DE SELEGILINA | NIAR 5 MG COM CT BL AL PLAS AMB X 60 | ABBOTT LABORATORIOS DO BRASIL LTDA.,CLORIDRATO DE SELEGILINA
90000935,ESTAZOLAM | NOCTAL 2 MG COM CT BL AL PLAS INC X 20 | ABBOTT LABORATORIOS DO BRASIL LTDA.,ESTAZOLAM
90000951,RITONAVIR | NORVIR 100 MG CAP GEL MOLE CT FR PLAS OPC X 30 | ABBOTT LABORATORIOS DO BRASIL LTDA.,RITONAVIR
90000978,CLORETO DE SODIO+CITRATO DE POTASSIO+CITRATO DE SODIO+GLICOSE | PEDIALYTE SOL ORAL FR PLAS TRANSP X 500 ML (CEREJA) | ABBOTT LABORATORIOS DO BRASIL LTDA.,CLORETO DE SODIO+CITRATO DE POTASSIO+CITRATO DE SODIO+GLICOSE
90000986,CLORETO DE SODIO+CITRATO DE POTASSIO+CITRATO DE SODIO+GLICOSE | PEDIALYTE SOL ORAL FR PLAS TRANSP X 500 ML (COCO) | ABBOTT LABORATORIOS DO BRASIL LTDA.,CLORETO DE SODIO+CITRATO DE POTASSIO+CITRATO DE SODIO+GLICOSE
90000994,CLORETO DE SODIO+CITRATO DE POTASSIO+CITRATO DE SODIO+GLICOSE | PEDIALYTE SOL ORAL FR PLAS TRANSP X 500 ML (GUARANA) | ABBOTT LABORATORIOS DO BRASIL LTDA.,CLORETO DE SODIO+CITRATO DE POTASSIO+CITRATO DE SODIO+GLICOSE
90001001,CLORETO DE SODIO+CITRATO DE POTASSIO+CITRATO DE SODIO+GLICOSE | PEDIALYTE SOL ORAL FR PLAS TRANSP X 500 ML (MACA) | ABBOTT LABORATORIOS DO BRASIL LTDA.,CLORETO DE SODIO+CITRATO DE POTASSIO+CITRATO DE SODIO+GLICOSE
90001010,CLORETO DE SODIO+CITRATO DE POTASSIO+CITRATO DE SODIO+GLICOSE | PEDIALYTE SOL ORAL FR PLAS TRANSP X 500 ML (TUTI-FRUTI) | ABBOTT LABORATORIOS DO BRASIL LTDA.,CLORETO DE SODIO+CITRATO DE POTASSIO+CITRATO DE SODIO+GLICOSE
90001028,CITRATO DE POTASSIO+CITRATO DE SODIO+CLORETO DE SODIO+GLICOSE | PEDIALYTE SOL ORAL FR PLAS TRANSP X 500 ML | ABBOTT LABORATORIOS DO BRASIL LTDA.,CITRATO DE POTASSIO+CITRATO DE SODIO+CLORETO DE SODIO+GLICOSE
90001052,CLORIDRATO DE PROPAFENONA | RITMONORM 300 MG COM REV CT BL AL PLAS AMB X 10 | ABBOTT LABORATORIOS DO BRASIL LTDA.,CLORIDRATO DE PROPAFENONA
90001079,CLORIDRATO DE PROPAFENONA | RITMONORM 300 MG COM REV CT BL AL PLAS AMB X 30 | ABBOTT LABORATORIOS DO BRASIL LTDA.,CLORIDRATO DE PROPAFENONA
90001087,CLORIDRATO DE PROPAFENONA | RITMONORM 300 MG COM REV CT BL AL PLAS AMB X 60 | ABBOTT LABORATORIOS DO BRASIL LTDA.,CLORIDRATO DE PROPAFENONA
90001206,LEVOTIROXINA SODICA | SYNTHROID 100 MCG COM CT BL AL/AL X 30 | ABBOTT LABORATORIOS DO BRASIL LTDA.,LEVOTIROXINA SODICA
90001214,LEVOTIROXINA SODICA | SYNTHROID 112 MCG COM CT BL AL/AL X 30 | ABBOTT LABORATORIOS DO BRASIL LTDA.,LEVOTIROXINA SODICA
90001222,LEVOTIROXINA SODICA | SYNTHROID 125 MCG COM CT BL AL/AL X 30 | ABBOTT LABORATORIOS DO BRASIL LTDA.,LEVOTIROXINA SODICA
90001230,LEVOTIROXINA SODICA | SYNTHROID 137 MCG COM CT BL AL/AL X 30 | ABBOTT LABORATORIOS DO BRASIL LTDA.,LEVOTIROXINA SODICA
90001249,LEVOTIROXINA SODICA | SYNTHROID 150 MCG COM CT BL AL/AL X 30  | ABBOTT LABORATORIOS DO BRASIL LTDA.,LEVOTIROXINA SODICA
90001257,LEVOTIROXINA SODICA | SYNTHROID 175 MCG COM CT BL AL/AL X 30  | ABBOTT LABORATORIOS DO BRASIL LTDA.,LEVOTIROXINA SODICA
90001265,LEVOTIROXINA SODICA | SYNTHROID 200 MCG COM CT BL AL/AL X 30 | ABBOTT LABORATORIOS DO BRASIL LTDA.,LEVOTIROXINA SODICA
90001273,LEVOTIROXINA SODICA | SYNTHROID 25 MCG COM CT BL AL/AL X 30 | ABBOTT LABORATORIOS DO BRASIL LTDA.,LEVOTIROXINA SODICA
90001281,LEVOTIROXINA SODICA | SYNTHROID 50 MCG COM CT BL AL/AL X 30 | ABBOTT LABORATORIOS DO BRASIL LTDA.,LEVOTIROXINA SODICA
90001290,LEVOTIROXINA SODICA | SYNTHROID 75 MCG COM CT BL AL/AL X 30 | ABBOTT LABORATORIOS DO BRASIL LTDA.,LEVOTIROXINA SODICA
90001303,LEVOTIROXINA SODICA | SYNTHROID 88 MCG COM CT BL AL/AL X 30  | ABBOTT LABORATORIOS DO BRASIL LTDA.,LEVOTIROXINA SODICA
90001320,TEOFILINA | TEOLONG 100 MG CAP GEL MICROG CT BL AL PLAS AMB X 30 | ABBOTT LABORATORIOS DO BRASIL LTDA.,TEOFILINA
